days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November,times liked
592,395.0,2,23,1058,12,1.3141891891891893,111.14020270270271,0,36,-0.7622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,4847
606,476.0,2,19,1110,18,0.22112211221122113,31.752475247524753,0,38,-0.7622,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1374
613,27.0,1,67,1234,10,0.12234910277324633,12.841761827079935,1,38,0.7319,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,679
619,16.0,3,26,1158,20,0.19224555735056542,38.1470113085622,0,39,-0.7989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,1328
634,275.0,2,35,1133,14,0.1829652996845426,13.738170347003155,1,37,-0.8875,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,941
642,275.0,1,44,1155,13,0.05451713395638629,3.3551401869158877,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,224
653,281.0,3,32,1169,13,0.17457886676875958,19.238897396630936,0,37,0.8152,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,911
663,359.0,4,44,1075,11,0.43137254901960786,26.60633484162896,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1455
670,47.0,2,40,1275,17,0.14328358208955225,19.780597014925373,0,40,-0.4106,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,1249
676,57.0,2,55,1176,10,0.6849112426035503,85.25443786982248,0,37,0.4869,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,2463
684,36.0,2,31,1076,9,0.36257309941520466,26.11842105263158,0,36,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,1202
690,642.0,2,26,1105,21,0.04492753623188406,2.0695652173913044,0,31,0.782,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,142
698,12.0,1,46,1071,12,0.669054441260745,73.91977077363897,0,31,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,3029
704,354.0,0,51,1507,8,0.07528409090909091,9.181818181818182,0,48,0.9562,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,589
757,292.0,2,46,1183,17,0.034346103038309116,1.616908850726552,0,36,0.9163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,135
760,9.0,3,33,1402,14,0.11842105263157894,13.085526315789474,0,38,0.954,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,862
768,10.0,3,52,1165,15,0.028645833333333332,3.88671875,0,37,-0.7622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,217
774,7.0,2,37,1133,18,1.330749354005168,227.5826873385013,0,36,0.5792,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,9157
782,40.0,2,26,1288,12,0.06265984654731457,5.845268542199489,0,35,0.9128,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,331
796,266.0,1,37,1120,16,0.135678391959799,21.712311557788944,0,33,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1104
804,17.0,1,21,1247,14,0.0,5.022388059701493,0,37,0.9614,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,324
810,355.0,4,39,1210,12,0.025925925925925925,2.577777777777778,0,35,0.8089,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,149
817,16.0,1,49,1191,12,0.042839657282741736,4.776009791921664,1,36,0.8284,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,387
825,8.0,1,49,1201,15,0.02303030303030303,3.595151515151515,0,35,0.4815,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,179
831,18.0,2,56,1248,25,0.0457280385078219,5.003610108303249,0,36,0.7374,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,296
838,297.0,1,41,1236,19,0.041766109785202864,7.782816229116945,0,33,0.8329,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,469
844,16.0,1,27,1182,12,0.02132701421800948,3.4822274881516586,0,33,0.6517,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,209
848,290.0,1,43,1235,14,0.0330188679245283,3.2275943396226414,0,34,0.8664,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,181
859,354.0,4,39,1194,10,0.046565774155995346,4.30151338766007,0,34,0.8253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,258
866,1165.0,3,34,1156,13,0.11085450346420324,8.209006928406467,0,30,0.932,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,765
880,373.0,1,41,1187,9,0.2806818181818182,27.348863636363635,0,32,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1452
884,13.0,2,21,1141,11,0.021493212669683258,1.489819004524887,0,33,0.6868,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,102
896,231.0,4,22,1279,12,0.0,1.1819196428571428,0,38,0.8765,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,88
899,308.0,1,44,2505,12,0.0,1.2647385984427142,0,66,0.9906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,126
906,311.0,2,27,1235,19,0.03421633554083885,10.821192052980132,0,35,0.8176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,211
915,323.0,1,21,1167,20,0.15300546448087432,23.42622950819672,0,33,0.6072,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1264
922,416.0,2,47,1138,16,0.019522776572668113,3.4132321041214753,0,34,0.4871,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,201
930,15.0,2,57,1130,10,0.02258064516129032,2.1473118279569894,0,32,0.4871,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,142
937,297.0,1,60,1239,18,0.0192102454642476,2.0928495197438632,0,36,0.8289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,148
955,939.0,3,71,1307,18,0.0774869109947644,9.404188481675392,2,41,0.6169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,1,604
965,406.0,2,38,1333,15,0.031088082901554404,3.572020725388601,0,34,0.9069,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,271
971,371.0,3,34,1326,13,0.12976313079299692,10.200823892893924,0,37,0.7655,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,680
978,151.0,1,34,1351,9,0.024539877300613498,7.248466257668712,0,33,0.9472,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,377
985,466.0,6,36,1312,16,0.03959390862944162,14.241624365482233,0,34,0.9634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,478
