days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,times liked
194,287.0,0,75,2790,1,0.8350515463917526,123.4639175257732,2,57,0.8677,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,1574
376,29.0,0,41,1024,3,9.545212765957446,735.2952127659574,1,17,0.6189,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,1,0,23235
966,61.0,2,45,377,6,0.5134575569358178,160.06107660455487,2,4,0.8598,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,5885
