days online,duration,tags in title,title length,description length,tag count,comment count/days online,times viewed/days online,title emoji count,description emoji count,VADER sentiment,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,December,June,October,January,February,March,April,May,July,August,September,November
0.7090131073022164,0.5603911936822603,1.1573495442882624,-1.3010126127856323,-0.4501934953302387,-0.0026034592553262027,-0.5530333825627102,-1.3048178812524682,-0.7512497854339835,-1.143153236160397,0.1027,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7096983849876314,-0.38704574096703737,1.1573495442882624,0.6331205773071605,0.42320034510111443,1.731300404791857,0.2539530214295684,1.0446717717063738,0.4594758215812203,0.03471790173385915,0.9279,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7117515495739787,-0.8276058261172852,1.5450284253348718,1.7383395430744708,-0.39835713078056156,0.3827085105329367,-0.32690944323463705,-0.7493397597295279,-0.7512497854339835,-0.9895178703481028,0.1027,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.713118108004958,0.07251262104073528,-0.7910024328057023,-1.2319364274251754,-0.7514312364868533,-2.314475277984904,-0.3496162855664148,-0.919604444556455,-0.7512497854339835,-1.143153236160397,0.1027,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7192457953462716,0.4713802667958532,-0.7910024328057023,-0.05764127629740829,0.27649365297938655,0.3827085105329367,1.1672878155154298,1.548765020927308,0.4594758215812203,0.5980475763789382,-0.6124,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7239872731567994,-0.9925395217912586,0.0711570516729194,1.0475776894699018,-0.3377183647035807,0.9606764652153311,-0.08390270598576613,0.1982815728069225,1.6702014285964242,-0.6310353501194161,-0.977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7280344937962971,0.3546830331434268,1.1573495442882624,-1.57731735422746,0.054477525568505096,0.5753644954270681,-0.45298162333928277,-1.2631739799060497,-0.7512497854339835,-0.7846707159317104,0.9981,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7287075226617267,0.9843647076973147,0.0711570516729194,-0.12671746165786518,0.42711252355769386,-0.19525944414945767,0.7488170888876919,1.4119293274542775,0.4594758215812203,-0.016493886870238946,0.9437,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7334067330987245,0.3132347913955941,0.6828689408562503,-0.264869832378779,0.026114231758304376,-0.3879154290435891,-0.33726283023018483,-0.928306466060411,1.6702014285964242,-0.6822471387235142,0.9863,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7380850911862764,0.42989885761280067,0.0711570516729194,-1.3700887981460892,-0.040392802003545586,-0.19525944414945767,-0.2847442086831456,-0.5315007457293016,-0.7512497854339835,-0.42618819570302374,0.9477,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7427427811681945,-0.0689980642099028,0.6828689408562503,-0.264869832378779,-0.02670017740551765,-0.5805714139377206,0.3344566129380898,0.25410642677026707,0.4594758215812203,-0.579823561515318,0.9231,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7473799848571638,-0.0003983412431615502,0.0711570516729194,-0.8865555006228909,-0.05310738198742866,-0.5805714139377206,-0.2773754585873264,-0.6386820315441466,0.4594758215812203,0.2907768447543496,0.8149,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7519968816773194,0.36277750784450524,0.0711570516729194,-0.4720983884601496,0.6021825094896224,-0.19525944414945767,-0.03239829912623713,-0.31741991665980185,0.4594758215812203,0.39320042196254584,0.9897,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75659364870591,-0.03294934878580369,0.6828689408562503,-0.8865555006228909,-0.5206127075486681,0.5753644954270681,1.7269758644402835,1.5348614768439945,-0.7512497854339835,-1.3480003905767894,0.9569,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.761822672106258,-0.16904837569103356,0.0711570516729194,-0.7484031299019772,-0.5704929828700556,0.7680204803211996,1.3086668777300177,1.9672755128163122,-0.7512497854339835,-1.2455768133685934,0.68,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7663768894768018,-0.09625379445484371,0.0711570516729194,-0.264869832378779,-0.4854031014394534,-0.5805714139377206,0.3108949052708757,0.44669881209633217,-0.7512497854339835,-1.2455768133685934,0.871,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7754267277200763,-0.08377594299312716,1.1573495442882624,0.7021967626676174,-0.4501934953302387,0.19005252563880526,1.3303399911859952,2.0385004025428675,0.4594758215812203,-0.9895178703481028,0.9112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7799226820040975,-0.41739611090794065,-0.7910024328057023,-0.9556316859833478,-0.48246896759701885,-0.19525944414945767,-0.21919088345607923,0.4422149292939657,-0.7512497854339835,-1.2967886019726913,0.9112,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
