,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_cluster_size,param_min_samples,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,44.83045259,0.32829678,9.304290247,0.06945586,10,5,"{'min_cluster_size': 10, 'min_samples': 5}",0.244350374,0.244634017,0.26145795,0.239946365,0.249289885,0.247935718,0.007379298,11,0.101742215,0.11688301,0.095510244,0.097987689,0.101700135,0.102764659,0.007442478
1,44.45463624,0.155138703,9.249519491,0.10631929,10,10,"{'min_cluster_size': 10, 'min_samples': 10}",0.268777311,0.225382179,0.251718849,0.247028351,0.246771872,0.247935712,0.013852971,12,0.100827463,0.121105224,0.114298329,0.097944766,0.123576142,0.111550385,0.010426494
2,44.33183661,0.105275661,9.274209166,0.10078586,10,15,"{'min_cluster_size': 10, 'min_samples': 15}",0.274895459,0.25890553,0.314452648,0.287519783,0.314974129,0.29014951,0.022012233,6,0.139527321,0.147555739,0.152170599,0.146978348,0.150351033,0.147316608,0.004326975
3,44.61882114,0.178288361,9.280317688,0.097705409,100,5,"{'min_cluster_size': 100, 'min_samples': 5}",0.393554896,0.415250719,0.407559186,0.412824899,0.384412467,0.402720433,0.011846607,1,0.299037546,0.323243916,0.309283346,0.329354554,0.32396543,0.316976959,0.011156456
4,44.78092489,0.682541226,9.636902809,0.497083726,100,10,"{'min_cluster_size': 100, 'min_samples': 10}",0.377434582,0.414215922,0.398379534,0.428174853,0.387337238,0.401108426,0.018231519,2,0.29462108,0.319338083,0.317722321,0.331191361,0.31849739,0.316274047,0.011897952
5,44.30813828,0.166246569,9.666828346,0.133823103,100,15,"{'min_cluster_size': 100, 'min_samples': 15}",0.383607775,0.395747453,0.38742587,0.418038547,0.381260782,0.393216085,0.013351688,3,0.296998382,0.310660541,0.313453615,0.322291911,0.341144979,0.316909885,0.014586117
6,44.59538126,0.121543902,9.678055811,0.554606925,500,5,"{'min_cluster_size': 500, 'min_samples': 5}",0.385441154,0.237511635,0.415808439,0.345836908,0.411084414,0.35913651,0.06568366,4,0.394928724,0.384491801,0.393181622,0.38711524,0.382267982,0.388397074,0.004899273
7,44.4118154,0.163474136,10.76101646,0.337612475,500,10,"{'min_cluster_size': 500, 'min_samples': 10}",0.152616829,0.233470336,0.398767143,0.152559891,0.407901049,0.26906305,0.113577015,8,0.388160676,0.389639884,0.381784737,0.38299951,0.384832919,0.385483545,0.002990556
8,44.3205833,0.192232446,10.22739635,0.297552005,500,15,"{'min_cluster_size': 500, 'min_samples': 15}",0.152499244,0.233595774,0.380276412,0.152546242,0.383358687,0.260455272,0.103424031,9,0.380307883,0.38478598,0.39070496,0.391664445,0.383436739,0.386180001,0.004347526
9,44.66791434,0.187400996,9.599575567,0.159978305,1000,5,"{'min_cluster_size': 1000, 'min_samples': 5}",0.361767262,0.258792639,0.392382503,0.279356152,0.360363543,0.33053242,0.051877838,5,0.300800502,0.320726871,0.29551512,0.3147223,0.305982828,0.307549524,0.009142449
10,44.38089366,0.086495714,10.65853739,0.855273535,1000,10,"{'min_cluster_size': 1000, 'min_samples': 10}",0.370196193,0.255247205,0.287185729,0.254968256,0.191569537,0.271833384,0.058159704,7,0.299921632,0.33646968,0.292981803,0.314005077,0.332596451,0.315194929,0.017225216
11,44.3058732,0.158425566,10.82287917,0.247485057,1000,15,"{'min_cluster_size': 1000, 'min_samples': 15}",0.230188459,0.254362315,0.361235678,0.254968256,0.18638958,0.257428858,0.057584603,10,0.313829809,0.324847698,0.307775348,0.288395047,0.283705145,0.30371061,0.015495044
,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_min_cluster_size,param_min_samples,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,44.72695451,1.256561714,10.44081364,1.157760877,84,6,"{'min_cluster_size': 84, 'min_samples': 6}",0.42844519,0.440050483,0.424035877,0.470139414,0.419664472,0.436467087,0.018154228,7,0.327889085,0.330274522,0.333153069,0.348255962,0.331697583,0.334254044,0.007213191
1,47.62538476,3.466258104,10.57099805,0.796374245,84,7,"{'min_cluster_size': 84, 'min_samples': 7}",0.431931347,0.443677574,0.42712,0.449243963,0.384326309,0.427259839,0.022882195,10,0.318020076,0.329623312,0.330086917,0.34606421,0.335728765,0.331904656,0.009125865
2,46.60253181,5.20847104,10.33140125,1.003858889,84,8,"{'min_cluster_size': 84, 'min_samples': 8}",0.432568401,0.452259302,0.422872722,0.462673783,0.439220339,0.44191891,0.01410787,2,0.324407041,0.338503957,0.328510433,0.332240015,0.331123024,0.330956894,0.004637195
3,43.73888836,0.693860361,9.732565975,0.75368243,84,9,"{'min_cluster_size': 84, 'min_samples': 9}",0.440621078,0.456045717,0.417862266,0.462037742,0.432928383,0.441899037,0.015909545,3,0.327231586,0.342395216,0.331625819,0.327257812,0.327795535,0.331261194,0.005803016
4,46.63652105,2.457706364,10.64693003,0.636130993,85,6,"{'min_cluster_size': 85, 'min_samples': 6}",0.421697795,0.440050483,0.424035877,0.470200568,0.419664472,0.435129839,0.018957015,9,0.332698703,0.32985723,0.335409105,0.347065836,0.331697583,0.335345691,0.006128691
5,43.78049798,1.088669341,10.28841634,0.923528764,85,7,"{'min_cluster_size': 85, 'min_samples': 7}",0.42712903,0.443677574,0.42712,0.449301213,0.384886444,0.426422852,0.022571676,12,0.326942742,0.33318761,0.330239654,0.34606421,0.335728765,0.334432596,0.006514648
6,42.98144813,0.075868588,9.630116415,0.157581456,85,8,"{'min_cluster_size': 85, 'min_samples': 8}",0.432568401,0.452259302,0.422872722,0.46516791,0.439220339,0.442417735,0.0148571,1,0.324407041,0.336725801,0.32899341,0.341405511,0.332911074,0.332888567,0.005905451
7,43.10049758,0.175344941,9.439077616,0.034924868,85,9,"{'min_cluster_size': 85, 'min_samples': 9}",0.434323072,0.456045717,0.420524329,0.464525193,0.432928383,0.441669339,0.016165109,6,0.325608432,0.339428186,0.327432126,0.327257812,0.328632176,0.329671746,0.00497237
8,43.29104304,0.140559248,9.346439695,0.071601024,86,6,"{'min_cluster_size': 86, 'min_samples': 6}",0.423371077,0.440050483,0.428599,0.470200568,0.417164445,0.435877115,0.018735274,8,0.332698703,0.32985723,0.334569186,0.346330047,0.331697583,0.33503055,0.005851511
9,43.01846795,0.142143526,9.865147448,0.646595689,86,7,"{'min_cluster_size': 86, 'min_samples': 7}",0.428682655,0.443677574,0.42712,0.451792032,0.382372081,0.426728868,0.024028798,11,0.326942742,0.331490338,0.330239654,0.345328063,0.337924808,0.334385121,0.006530406
10,43.10386715,0.067112814,10.67776237,0.143204685,86,8,"{'min_cluster_size': 86, 'min_samples': 8}",0.431353718,0.452259302,0.422872722,0.467209786,0.43493551,0.441726208,0.015934333,5,0.324407041,0.336725801,0.327734381,0.340669423,0.350173175,0.335941964,0.009229404
