,video ids,publish date,tags,comment count,title,description,times_viewed,times_liked,times_faved,duration in seconds,caption,privacy_status,thumbnail,title length,description length,tag count,days live,comment count/days live,times liked/days live,times viewed/days live,likes per view,Publish Day,Publish Month,tags in title,title emoji count,description emoji count,VADER sentiment - title,VADER sentiment - description
10,RNVdd8jZgdA,2023-05-27 20:30:00+00:00,,20,Boldly Me theme song pops off tbhh,,29634,1780,0,11,false,public,"[array([[[41, 25, 35],
        [44, 29, 32],
        [40, 27, 21],
        ...,
        [42, 25, 33],
        [46, 29, 37],
        [43, 26, 34]],

       [[41, 25, 35],
        [44, 29, 32],
        [40, 27, 21],
        ...,
        [42, 25, 33],
        [46, 29, 37],
        [43, 26, 34]],

       [[41, 25, 35],
        [44, 29, 32],
        [40, 26, 23],
        ...,
        [42, 25, 33],
        [46, 29, 37],
        [43, 26, 34]],

       ...,

       [[34, 22, 24],
        [34, 22, 24],
        [34, 22, 24],
        ...,
        [34, 22, 24],
        [34, 22, 24],
        [34, 22, 24]],

       [[34, 22, 24],
        [34, 22, 24],
        [34, 22, 24],
        ...,
        [34, 22, 24],
        [34, 22, 24],
        [34, 22, 24]],

       [[34, 22, 24],
        [34, 22, 24],
        [34, 22, 24],
        ...,
        [34, 22, 24],
        [34, 22, 24],
        [34, 22, 24]]], dtype=uint8)]",7,0,0,53,0.37735849056603776,33.58490566037736,559.1320754716982,0.06006614024431396,Saturday,May,0,0,0,0.3612,0.3612
11,S8mduARlNoA,2023-05-27 09:05:14+00:00,,84,"A diagnosis doesn't change you, it changes how you see you",,7527,1368,0,113,false,public,"[array([[[26, 21, 18],
        [26, 21, 18],
        [26, 21, 18],
        ...,
        [22, 17, 13],
        [22, 17, 13],
        [22, 17, 13]],

       [[26, 21, 18],
        [26, 21, 18],
        [26, 21, 18],
        ...,
        [21, 16, 12],
        [21, 16, 12],
        [21, 16, 12]],

       [[25, 20, 17],
        [25, 20, 17],
        [25, 20, 17],
        ...,
        [21, 16, 12],
        [21, 16, 12],
        [21, 16, 12]],

       ...,

       [[ 7,  3,  0],
        [ 7,  3,  0],
        [ 8,  4,  1],
        ...,
        [16, 13,  6],
        [17, 12,  6],
        [17, 12,  6]],

       [[ 9,  5,  2],
        [ 8,  4,  1],
        [ 6,  2,  0],
        ...,
        [21, 18, 11],
        [19, 14,  8],
        [14,  9,  3]],

       [[ 9,  5,  2],
        [ 8,  4,  1],
        [ 6,  2,  0],
        ...,
        [18, 15,  8],
        [19, 14,  8],
        [20, 13,  7]]], dtype=uint8)]",11,0,0,54,1.5555555555555556,25.333333333333332,139.38888888888889,0.1817457154244719,Saturday,May,0,0,0,0.0,0.0
12,PzzV_ZUSVAA,2023-05-13 06:30:06+00:00,,905,Dino arms unite,,481753,42229,0,13,false,public,"[array([[[57, 52, 46],
        [57, 52, 46],
        [57, 52, 46],
        ...,
        [67, 64, 59],
        [67, 64, 59],
        [67, 64, 59]],

       [[58, 53, 47],
        [57, 52, 46],
        [57, 52, 46],
        ...,
        [67, 64, 59],
        [67, 64, 59],
        [67, 64, 59]],

       [[58, 53, 47],
        [58, 53, 47],
        [58, 53, 47],
        ...,
        [67, 64, 59],
        [67, 64, 59],
        [67, 64, 59]],

       ...,

       [[ 5,  5,  5],
        [ 5,  5,  5],
        [ 5,  5,  5],
        ...,
        [65, 60, 66],
        [66, 61, 67],
        [66, 61, 67]],

       [[ 6,  6,  6],
        [ 6,  6,  6],
        [ 6,  6,  6],
        ...,
        [65, 60, 66],
        [66, 61, 67],
        [66, 61, 67]],

       [[ 6,  6,  6],
        [ 6,  6,  6],
        [ 6,  6,  6],
        ...,
        [65, 60, 66],
        [66, 61, 67],
        [66, 61, 67]]], dtype=uint8)]",3,0,0,68,13.308823529411764,621.0147058823529,7084.60294117647,0.08765695283682717,Saturday,May,0,0,0,0.0,0.0
13,e9Q0WpyD5rQ,2023-05-10 01:30:25+00:00,,330,it's time for science to answer the real question about autism,,95689,10133,0,24,false,public,"[array([[[37, 29, 16],
        [39, 31, 18],
        [34, 26, 15],
        ...,
        [44, 22, 24],
        [37, 21, 21],
        [31, 21, 19]],

       [[37, 29, 16],
        [39, 31, 18],
        [34, 26, 15],
        ...,
        [41, 21, 22],
        [34, 20, 19],
        [29, 19, 17]],

       [[37, 29, 16],
        [39, 31, 18],
        [33, 25, 14],
        ...,
        [36, 20, 20],
        [29, 18, 16],
        [25, 17, 14]],

       ...,

       [[72, 63, 20],
        [71, 62, 23],
        [68, 54, 27],
        ...,
        [23, 16, 10],
        [17, 10,  4],
        [23, 16, 10]],

       [[79, 62, 19],
        [77, 57, 22],
        [73, 49, 23],
        ...,
        [26, 19, 13],
        [18, 11,  5],
        [23, 16, 10]],

       [[66, 39,  9],
        [68, 38, 12],
        [70, 34, 18],
        ...,
        [26, 19, 13],
        [18, 11,  5],
        [23, 16, 10]]], dtype=uint8)]",11,0,0,71,4.647887323943662,142.71830985915494,1347.7323943661972,0.10589513946221614,Wednesday,May,0,0,0,0.0,0.0
14,mQPiRyLR8SQ,2023-05-08 23:00:17+00:00,,238,Copping both diagnosis's on their behalf,,85980,8677,0,6,false,public,"[array([[[62, 48, 35],
        [61, 47, 34],
        [61, 47, 34],
        ...,
        [52, 52, 50],
        [52, 52, 50],
        [52, 52, 50]],

       [[62, 48, 35],
        [61, 47, 34],
        [60, 46, 33],
        ...,
        [52, 52, 50],
        [52, 52, 50],
        [52, 52, 50]],

       [[60, 48, 34],
        [61, 47, 34],
        [60, 46, 33],
        ...,
        [51, 51, 49],
        [51, 51, 49],
        [51, 51, 49]],

       ...,

       [[35, 28, 20],
        [29, 24, 18],
        [27, 22, 18],
        ...,
        [34, 33, 31],
        [34, 33, 31],
        [34, 33, 31]],

       [[32, 27, 21],
        [31, 28, 23],
        [31, 28, 23],
        ...,
        [33, 32, 30],
        [33, 32, 30],
        [33, 32, 30]],

       [[31, 28, 23],
        [31, 27, 24],
        [29, 28, 24],
        ...,
        [32, 32, 30],
        [32, 32, 30],
        [32, 32, 30]]], dtype=uint8)]",6,0,0,72,3.3055555555555554,120.51388888888889,1194.1666666666667,0.10091881832984415,Monday,May,0,0,0,0.0,0.0
15,utKoxcqkrSM,2023-05-05 14:00:38+00:00,,214,Omg just like Sheldon Cooper!!,,79728,8777,0,7,false,public,"[array([[[68, 69, 71],
        [67, 68, 70],
        [67, 68, 70],
        ...,
        [36, 33, 28],
        [36, 33, 28],
        [36, 33, 28]],

       [[68, 69, 71],
        [67, 68, 70],
        [67, 68, 70],
        ...,
        [36, 33, 28],
        [36, 33, 28],
        [36, 33, 28]],

       [[68, 69, 71],
        [67, 68, 70],
        [67, 68, 70],
        ...,
        [36, 33, 28],
        [36, 33, 28],
        [36, 33, 28]],

       ...,

       [[64, 67, 72],
        [64, 67, 72],
        [64, 67, 72],
        ...,
        [19, 20, 22],
        [17, 18, 20],
        [16, 17, 19]],

       [[64, 67, 72],
        [64, 67, 72],
        [64, 67, 72],
        ...,
        [21, 22, 24],
        [20, 21, 23],
        [19, 20, 22]],

       [[64, 67, 72],
        [64, 67, 72],
        [64, 67, 72],
        ...,
        [21, 22, 24],
        [20, 21, 23],
        [20, 20, 20]]], dtype=uint8)]",5,0,0,76,2.8157894736842106,115.48684210526316,1049.0526315789473,0.1100867951033514,Friday,May,0,0,0,0.4738,0.4738
16,VwQOllY1fOw,2023-05-03 22:30:05+00:00,,172,What do you MEAN you don't obsess over everything??,,85164,8812,0,8,false,public,"[array([[[45, 41, 30],
        [45, 41, 30],
        [45, 41, 30],
        ...,
        [34, 27, 21],
        [32, 27, 21],
        [31, 26, 20]],

       [[45, 41, 30],
        [45, 41, 30],
        [45, 41, 30],
        ...,
        [34, 27, 21],
        [32, 27, 21],
        [31, 26, 20]],

       [[45, 41, 30],
        [45, 41, 30],
        [45, 41, 30],
        ...,
        [34, 27, 21],
        [31, 26, 20],
        [31, 26, 20]],

       ...,

       [[67, 62, 58],
        [69, 64, 60],
        [72, 69, 64],
        ...,
        [57, 53, 52],
        [58, 54, 53],
        [60, 56, 55]],

       [[55, 48, 42],
        [57, 49, 46],
        [66, 61, 57],
        ...,
        [58, 54, 53],
        [58, 54, 53],
        [58, 54, 53]],

       [[56, 47, 42],
        [58, 49, 44],
        [68, 60, 57],
        ...,
        [58, 54, 53],
        [58, 54, 53],
        [58, 54, 53]]], dtype=uint8)]",9,0,0,77,2.2337662337662336,114.44155844155844,1106.025974025974,0.10347095016673712,Wednesday,May,0,0,0,0.2732,0.2732
17,Geqvtd1AA_I,2023-05-02 01:00:09+00:00,,137,Wow you're so QuIrKy,,59753,5873,0,8,false,public,"[array([[[49, 44, 40],
        [49, 44, 40],
        [49, 44, 40],
        ...,
        [42, 37, 31],
        [42, 37, 31],
        [42, 37, 31]],

       [[49, 44, 40],
        [49, 44, 40],
        [49, 44, 40],
        ...,
        [42, 37, 31],
        [42, 37, 31],
        [41, 36, 30]],

       [[49, 44, 40],
        [49, 44, 40],
        [49, 44, 40],
        ...,
        [41, 36, 30],
        [41, 36, 30],
        [41, 36, 30]],

       ...,

       [[31, 30, 28],
        [31, 30, 28],
        [31, 30, 28],
        ...,
        [53, 46, 40],
        [53, 48, 44],
        [50, 46, 43]],

       [[47, 46, 44],
        [48, 47, 45],
        [48, 47, 45],
        ...,
        [58, 51, 45],
        [56, 51, 47],
        [53, 49, 46]],

       [[54, 53, 51],
        [54, 53, 51],
        [55, 54, 52],
        ...,
        [58, 51, 45],
        [56, 51, 47],
        [53, 49, 46]]], dtype=uint8)]",4,0,0,79,1.7341772151898733,74.34177215189874,756.367088607595,0.09828795206935216,Tuesday,May,0,0,0,0.5859,0.5859
18,u3Fl5AhA6b4,2023-04-28 22:15:00+00:00,,606,Big spoon slander,,160900,19137,0,9,false,public,"[array([[[42, 41, 37],
        [42, 41, 37],
        [42, 41, 37],
        ...,
        [46, 45, 41],
        [44, 43, 39],
        [44, 43, 39]],

       [[41, 40, 36],
        [41, 40, 36],
        [41, 40, 36],
        ...,
        [45, 44, 40],
        [43, 42, 38],
        [42, 41, 37]],

       [[41, 40, 36],
        [41, 40, 36],
        [41, 40, 36],
        ...,
        [42, 41, 37],
        [40, 39, 35],
        [40, 39, 35]],

       ...,

       [[56, 55, 53],
        [42, 41, 39],
        [23, 22, 20],
        ...,
        [28, 25, 18],
        [25, 24, 19],
        [24, 23, 18]],

       [[55, 53, 54],
        [49, 47, 48],
        [48, 46, 47],
        ...,
        [23, 20, 15],
        [31, 30, 25],
        [31, 30, 25]],

       [[52, 50, 51],
        [51, 49, 50],
        [51, 49, 50],
        ...,
        [25, 22, 17],
        [24, 23, 18],
        [22, 23, 17]]], dtype=uint8)]",3,0,0,82,7.390243902439025,233.3780487804878,1962.1951219512196,0.1189372280919826,Friday,April,0,0,0,0.0,0.0
19,qwRTC86qLOg,2023-04-25 22:00:18+00:00,,0,Boldly Me is out now!,,28519,1688,0,7,false,public,"[array([[[61, 64,  7],
        [60, 65,  7],
        [60, 65,  7],
        ...,
        [50, 56, 56],
        [49, 55, 55],
        [49, 55, 55]],

       [[60, 65, 11],
        [60, 65, 11],
        [58, 66,  9],
        ...,
        [50, 56, 56],
        [50, 56, 56],
        [49, 55, 55]],

       [[58, 64, 16],
        [58, 65, 14],
        [58, 65, 13],
        ...,
        [50, 56, 56],
        [50, 56, 56],
        [50, 56, 56]],

       ...,

       [[54, 67, 14],
        [53, 66, 20],
        [53, 65, 29],
        ...,
        [ 3,  3,  5],
        [ 2,  2,  4],
        [ 1,  1,  3]],

       [[53, 66, 10],
        [53, 67, 18],
        [54, 66, 28],
        ...,
        [ 2,  1,  6],
        [ 2,  1,  6],
        [ 2,  1,  6]],

       [[53, 67,  8],
        [53, 67, 14],
        [54, 66, 26],
        ...,
        [ 2,  1,  6],
        [ 2,  1,  6],
        [ 2,  1,  6]]], dtype=uint8)]",5,0,0,85,0.0,19.858823529411765,335.5176470588235,0.05918861110137102,Tuesday,April,0,0,0,0.4199,0.4199
